Komentar,Jumlah Like
Tadi sore aku lihat film jumbo bikin aku nangisssss hwaaaaaaaaaaaa,0
😢😢😢😢😢😢,0
Sedih banget 😭😭,0
Sedihh bgt 😭,0
Aku suka bgt meski pun bikin nangis ❤❤❤❤🎉🎉😢😢😢,0
"Plis plus lirik kayak di film , dalemmm bet lagu nya",0
Fourth Nattawat ❤<br>tumbuh menjadi anak yang kuat yaaa sayangg❤,0
😢😢😢😢,0
aku ini nangis karena lihat film ini,0
bagus banget😢😊,1
Kemarin nonton di bioskop sedih bgt cuy,0
jumbo  😢😢😢😢😢😢😢😢😊😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,0
Aku Udah nonton tapi ngak nangis.yang nangis kakakku sama ibuku,0
untuk saya takut lawan nabi Muhammad Saw 👏🏻,0
🥺🥺🥺🥺🥺🥺aTta,0
😭😭😭,0
"Jumbo, sampe akhir April plis bertahanlah di layar lebar, aku nunggu adek selesai ujian 😭 mau nonton sama adekkkk",0
Aku lihat di bioskop ini nangis banget,0
"Terimakasih Quin dan Prince, semoga berkah, sukses selalu buat kita semua❤",0
JUMBO LUCU BAGEN SAMA TEMEN TEMEN ❤❤😊😊,0
Real jumbo sih ini film 😂🎥🎬,1
"😢😢😢 sedih bgt lagu nya <a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=104"">1:44</a>",0
Sumpah gue sampe mewek,0
ada yg versi karaoke ga yaa,0
Film anak2 perlu di tayangkan kembali krn edukasi yg mudah difahami,0
Aku juga anak yatim 😢😢😢❤😭😭 kok tapi kasihan jumbo sihh😢😢😢😢😢😢😢,0
"Dari awal dengar lagu ini selalu banjir air mata, udah beberapa kali dengarin tetap banjir air mata. Ini yang bikin lagu bikinnya sambil ngirisin bawang merah ya?",0
Kasihan banget don di ting galin orang uw nya ❤❤❤❤❤😭😢😭😢😭😢😭😢,0
"Era Baru Musik Anak Indonesia, Laleilmanino lintas generasi✨",1
😢😢❤❤😞😔😭,0
Aku suka banget cocok nih kalo lagi galau 😭,0
Aku jadi beneran nangis,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=97"">1:37</a>",0
🗣,0
Jubah 😭,0
😢😢😢😢😢😢,0
😢😢😢😢😢👴🏻🏥💧💧👋🏻👋🏻😭😭😭💙💙,0
Langsung ngefans sama Prince❤ dan Quinn❤,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=58"">0:58</a> part paling enakk",2
Ksjem,0
😢😢😢😢😢😢😢😢😢,0
Roti gembul kok bisa nyanyi😂😂😂😂,0
🥹🥲,0
Jumbo,0
😢😢😢😢😢😢sedih banget 😢😢😢,0
😢yaya❤🎉,0
Pas nonton aku ga nangis santai aja. Tapi pas setelah nonton ada kejadian yg bikin down kok ya tiba inget lagu ini. Eh oleng jg😢,0
Nangis bgt 😭😢,0
Jum bo nya bagus<br>😊😮❤❤,0
😗😌☺️😤😞😎🤍,0
Suka banget,0
❤keren banget bosku film jumbo bioskop arion plaza jakarta timur nonton❤,1
Orang orang yang nonton sedih bgt😢,0
Gw sampe nagis Nada nya bikin sedih😢,0
Tadinya aku di bioskop nonton film ini jumbo,0
"Terima kasih sudah menambah list lagu anakku , buat kyk gini lagi yg banyak ya 😊",0
ibu❤         ayah❤❤❤😢😊,0
sukses bikin aku nangis hiksss,0
🥹😭🥹😭🫶mamai❤u,0
"visinema tolong perbanyak film kayàk gini ataupun ttg film anak anak yang lagunya nyentuh kayak gini, terakhir lagu anak anak pas yg petualanhan sherina waktu kecil, abis itu gak ad lagi, dan skrg boom lagu sama sedihnya dan menyentuh😢😢",0
🤔 Reminds me of.. JUMBO!,0
🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤😊😊😊😊 mangat bikin lagu nya kak,0
😢,0
Sama banget yang di bioskop,0
Bikin nangis 😢 keinget mama papa😢,0
Baguss banget tau film nya wajib nonton ☝🤓,0
Lagu favorit ku😢,0
"Pas dengerin lagu ini di bioskop sedih😢, pas sdh selesai malah pengen nonton lagi",0
😢😢😢😭😭😢😢🤧🤧,0
Keren,0
Suara Meri cantik,1
🥹🥹🥹🥹😭😭😭,0
"lebih suka versi ini drpada BCL, ini kayak sedih banget ❤😢",0
😭😭😭😭😭😢😢😢😢😢😢,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=156"">2:36</a>  bagus",0
"Nonton jumbo aku mau sedih😭😭😭 <a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=54"">0:54</a>",0
Kau selalu nya si Meri candu jirr,0
Lagunya keren❤,0
Pengen nangis😢,0
"Salah satu scene &quot;jleb&quot; buat aku, atta kalo sedih marah kesal jgn dilampiaskan ke orang lain yah. Cerita aja sama abang 😢😢",0
Lagunya bikin nangis sampai gua abisin tisu satu Box😭😭😭,0
Aurora😢❤,0
.•♫•♬•YA ALLAH•♬•♫•.,0
Sumpah air ku berkaca²😢😭😭,0
😭,0
fza❤😢🎉¹0,0
🤩🤩🤩🤩😭😭😭😭😭,0
Sedih bgt pas scene terakhir. Yg org tua ny udh meninggal plis nonton KLO GK banjir air mata😭😭😭😭,1
Pengen nonton tapi takut nangis soalnya kalo dirumah gk ada siapa siapa jadi galau 😭😭😭,0
Absoulute cinema 🖐😐🖐,0
Kok jadi keinget ibuku yang kerja di luar negeri 🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹,0
Lagunya enakken ampe mewek🙂,0
Animasi di bioskop itu JUMBO❤,0
Aku gak nangis😊😊😊,0
jadi keinget mantan gua,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=83"">1:23</a>  aku nangisssss deres banget😭😭😭😭😭",0
😊😊😊❤🎉🎉❤❤❤❤,0
Aku pas nonton filem nya pas bagian yang gak sedih malah asik sama lagu nya be like: 😊😊😊😊,0
Aku pernah ke bioskop nonton itu,0
"Sejauh hidup 30 tahun , baru ada 2lagu yang bikin nangis , sample kalo ikut nyanyi malah nangis, 1 yang terbaik bagimu, 2. Lagu ini... Mau puisi atau lagu , ttg orang tua Dan anak pasti bikin sedih nyesek gitu... Huhu",4
tadi aku nonton jumbo di bioskop aku sape nangis jumbo kasihan diya di buli sama teman teman nya 😭😭😭😭😭😭😭😭😭😭,0
"Setiap aku nonton ini pasti sedih aku nangis deras ayo nonton jumbo aku jadi keingget om aku yang udah meninggal aku juga pernah berteman pahit yang lebih parah nurman kehidupannya sedih si nurman nyuci baju sendiri selalu bantuin jumbo aku lebih suka semua karakter ini untuk mengajarkan orang tua <a href=""http://www.youtube.com/results?search_query=%23geng_jumbo"">#GENG_JUMBO</a># 😊",9
Ihbagus  baget fllemnya😢😢,1
Sedih,0
😊,0
absen nonton ke 3 kalinya<br>absen nonton ke 4,0
Gw nonton di bioskop,0
Aku mau nonton Jumbo jugaaa besok,0
Sedih ya lagunya,0
Ini jumbo kah,1
Pip maripip,0
Aku mewek deres banget😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0
Aku dah nonton film jumbo di bioskop sampai nangis 😭😭😭,0
😢😢😢😢😢😢😢😢😢😢😢❤❤❤❤❤❤❤❤,0
Wau keren banget banget banget lagunya 😎😎,0
😭😭😭😭😭😭😭😭😭🥳🥳🥳😭😭😭😭😭😭😭,0
"Jadi punya lagu buat duet sama anak, bagus banget lagunya ❤❤",0
Ini film dewasa berkedok kartun animasi anak2😢,0
Coba aja lu nyanyiin sendiri pasti mewek wkwkwkw. Gaskeun cover bang sal priadi 😂,1
Agak mirip lagu lagu di film COCO MOVIE kenapa ya?,1
ibu ada ayah,0
Huaaaaa sedih nya 😢,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=58"">0:58</a> aku suka bgt",0
fiks sih lagu buat pembelajaran yang sangat wow,0
Bagus bangetttttttttttt🎉🎉🎉,0
Bagus banget👍 aku udah pernah nonton filmnya aku sedih banget filmnya bikin nangis😢😢😭😭,0
😢😢😢 😭😢😥😭😢😥😭😢😥😭😢😭😥😭😢😥😭😢😭😥😭😢😢😭😢,0
udh 7 juta aja,0
"lagunya lebih cocok buat Atta. Kasihan sudah g ada ortu, cuma ada kakaknya seorang. Kehidupannya juga gak baik2 saja.",0
Ada 2  ja wkwk 😝,0
"waduuhh gak kuat ak nyanyiin lagu ini,,bait pertama aja udah trun air mata",0
Gua sampai nangis 😭😭😭😭😭😭😭,0
Terharu bgt nontonnya.. jiwa ibu2 ku kena bgt.. ❤❤,0
Parah cuy grafiknya sekelas disney😅,0
"Kala nanti badai &#39;kan datang<br>Angin akan buat kau goyah<br>Maafkan, hidup memang<br>Ingin kau lebih kuat<br><br>Andaikan saat itu datang<br>Kami tak ada menemani<br>Aku ingin kau mendengar<br>Nyanyianku di sini<br><br>Sedikit demi sedikit<br>Engkau akan berteman pahit<br>Luapkanlah saja bila harus menangis<br>Anakku, ingatlah semua<br>Lelah tak akan tersia<br>Usah kau takut pada keras dunia<br><br>Akhirnya takkan ada akhir<br>Doaku agar kau selalu<br>Arungi hidup berbalut senyuman di hati<br><br>Doaku agar kau selalu Ingat bahagia meski kadang hidup tak baik saja<br><br>Nyanyian ini bukan sekedar nada<br>Aku ingin kau mendengarnya<br>Dengan hatimu bukan telinga<br>Ingatlah ini bukan sekedar kata<br><br>Maksudnya kelak akan menjadi makna<br>Ungkapan cintaku dari hati",0
Capek bngt dikatain gendut😊,0
Kalo aku ikutan nyayi,0
Sambil getik sambil keluar air mata ai,0
Dari sini kita bisa buktikan bahwa alasan orang tua sikap serta perilakunya berubah ada kejamnya dunia yang memaksa mereka untuk kerja tanpa henti serta banyak tekanan tapi aslinya mereka hanyalah manusia biasa yang butuh kasih sayang juga jadi hargailah dan hormatilah kedua orang tua kalian selagi masih hidup❤😢.,1
"Keren maju terus dunia hiburan indonesia,tapi maaf apakah saya boleh sedikit masukan yaitu cara menatap teman2 don dan orang2 yang di dalam animasi agak  bagaimana yah kayak harus di perbaiki beda dengan upin dan ipin kayak kosong begitu tapi yang lain bagus",0
😭😭😭😭😭 aku lihat ini sampe nangis,0
Enak didenger juga penuh makna,0
❤😊🥺🥹😢😭,0
Lalalala,0
Pengen nangis deras jir,0
bagus banget😢😢❤,0
😭😭😭😭😭😭😭😭😭😭,0
😢😢😢😢😢😢😢😢😢😢😢,0
Sumpah kerenz,0
❤❤❤❤❤😊😊😊,0
Saya menangis saat no one yang mau ngajak jumbo main karna badannya besar. Please bullying kepada anak itu harus kita berantas sama-sama. Aku deep banget sama film ini karna aku merasakan bagaimana se gak diterima itu sama lingkungan. Hingga akhirnya aku berjuang mati-matian untuk jadi juara kelas hingga mulai dianggap😢,0
"aku nangis di sini ampun, cakep banget. makasih udah bikin masterpiece kayak gini 🥹🥹❤️❤️ semangat terus tim animasi indonesia",0
Sumpah gw sampe nangiss😢😢,0
☺😊🤗,0
😊😊😢😢,0
ya allah semoga dosa kita semua dan orang tua kalian semua juga masuk surga amin...... ❤❤❤❤❤ t,0
Aku udah nonton film jumbo bagus banget udah bikin 2020 memang bagusnya pada orang 2 nangis😢😭😭😭😭😭😭😭,0
harusnya pakai teks biar gampang..,0
Repo game,0
🏳️‍⚧️🏳️‍🌈🏳️🏴🎌🚩🏁,0
Deep😢,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=102"">1:42</a> bikin sedih dan nangis😢😢😢😢😢😢😢❤❤",0
enak tau lagu nya ♡,1
"Kala nanti badai &#39;kan datang<br>Angin akan buat kau goyah<br>Maafkan, hidup memang<br>Ingin kau lebih kuat<br><br>Andaikan saat itu datang<br>Kami tak ada menemani<br>Aku ingin kau mendengar<br>Nyanyianku di sini<br><br>Sedikit demi sedikit<br>Engkau akan berteman pahit<br>Luapkanlah saja bila harus menangis<br>Anakku, ingatlah semua<br>Lelah tak akan tersia<br>Usah kau takut pada keras dunia<br><br>Akhirnya takkan ada akhir<br>Doaku agar kau selalu<br>Arungi hidup berbalut<br>Senyuman di hati<br>Doaku agar kau selalu<br>Ingat bahagia<br>Meski kadang hidup tak baik saja<br><br>Nyanyian ini bukan sekedar nada<br>Aku ingin kau mendengarnya<br>Dengan hatimu bukan telinga<br>Ingatlah ini bukan sekedar kata",0
😢,1
😢😭,1
😢😭😢😭😢😭😢😭😢😭😢😭😢😭,0
Ngeri air mata ku mau netes,0
Terharu ges😢,1
😢😢😢😢😢😢😢😢❤❤❤,1
Trending dong video ini 🎉 film nya 10/10 🤩 bagus soalnya,1
❤❤❤❤❤❤❤❤❤❤❤,1
Weh hari selasa kemaren aku nonton film jumbo bukan caperya<br>Aku sambe nangis bang hampiri deres,0
"Part ini bikin nangis, dengerin lagi lagunya juga tetap nangis ❤<br>Keren sih ini 🎉",1
Jumbo❤,1
❤❤❤❤❤❤,1
Speed 1.25 lebih seru,3
Reffnya hampir mirip dengan Vadel Nasir - Simpan Rasa,0
"Yg paling terpikir dari lagu yg memorable ini adalah Kata &quot; Anakku ingatlah semua lelah tak akan tersia, usahlah kau takut pada keras dunia. Langsung nggak terasa air mata menetes, langsung teringat Anak-anak ku nanti menghadapi dunia yg makin keras. Semoga masih diberi kesempatan utk dapat menemani mereka😢😢",0
"Udah pada mampir berapa kali ke sini gengs?<br>Jadi daily rutin tiap mau bobok mampir di sini, udah seminggu ini😁",1
Bejir gw mau nangis 😭😭😭,0
Gua pass liat flim nya gua nangiss,0
Terimakasih Nino RAN udah nyiptain lagu seindah ini,53
Seneng banget bisa nonton film sebagus ini,1
"Nangis terus kalau denger lagu ini, kepikiran anak terus nanti kalau tiba&quot; aku meninggal anakku pasti kesepian 😭😭😭",2
Ini keren dan cute ❤😊,1
Akupernahnonton,0
"Lanjutkan Visinema ,,<br>Terima kasih sudah buat perfilman Indonesia untuk cerita Anak yang bagus banget, visual nya ga kalah sama internasional punya, lagu nya juga ringan gampang di ingat anak². Saya juga orang dewasa suka n happy nonton nya<br>Semoga film buat anak² Indonesia sebagus ini makin banyak ya ..",0
aku dengerin itu nggak sampai nangis,0
Lagunya bikin sedin 😭,0
Satu bioskop langsung nangis semua,1
Bikin nangis😢,1
Bagus Banget dan Terharu Walau Si Jumbo Kadang Nakal😅,1
"Paling best di <a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=94"">1:34</a>",2
Katanya Don itu markas nya pabrik gula ya??,1
Full song:Kala Nanti~ Badai kan datang angin Akan buat Kau Goyah~ maafkan hidup memang ingin kau lebih kuat~ (Suara guitar) andaikan saat itu datang Kami    Tak Ada menemani~ akuignin kau mendengar nyanyian ku disini~ sedikit-Demisedikit engkau Akan berteman pahit lupakan lah saja bila Harus menangis~ anaku ingat lah semua lelah tak Akan tersia~ Usah kau takut pada keras dunia~ akhir nya takkan Ada akhir doa ku agar kau selalu~ arumi~hidup berlaut senyuman di~ hati~ doaku doaku agar kau selalu kau selalu~hidup bahagia meski kadang hidup tak baik saja~ nyanyian ini bukan sekedar kata aku ingin kau mendengar nya dengan hati mu bukan telinga~ingat lah ini bukan sekedar kata~ maksud nya kelak maksud Nya Kelak!kan menjadi makna~ ungkapan cintaku Dari hati lalalala~ ungkapan cintaku dari hati~             Udh deh!!,1
"Aku udh nonton baru aja pulang dari nonton meri,atta,mae,nurman,acil,oma,don itu bagus + deg degan",0
Bikin nangis gw kejer 😢😢😢😢,1
Aku  sering banget nonton ini sumpah terke werr wr wt,0
Jumbo memang terbaik🎉🎉🎉,1
Pengen liat.. Tapi harus ke bontang.. Sejam motor,0
Bagus banget lagu nya aku juga bas nonton bioskop jumbo nangis loh 😢😢😢,2
Yg udh nonton film jumbo ngumpull!!,1
"Dari semua temen yang sudah nonton, Rata-rata semua nangis:  para ortu ya, alhamdulillah kalau Anak-anak bisa menikmati",0
😢😢❤😔😭😭💯💯,0
My grandpa,0
"aku dah nonton film ini bagus banget meri , jumbo , mae 😊",0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=42"">0:42</a>",0
Makasih Visinema. Udah bikin animasi sebagus ini. Ceritanya simple tapi menggelitik dan mengharukan sampai ada 3 part aku nangis. Pdhl aku dah emak2 loh. Terus berkarya buat anak2 &amp; keluarga Indonesia. Aku yakin makin diapresiasi akan makin berimprovisasi &amp; makin hebat lg.,17
Lagu ini bikin adeku tertidur 😊,0
😢😢😢😢😢😭😭😭,0
Pas di bioskop seru banget,0
gak bisa berenti nangis tiap denger laguya.. keinget mulu scene2 di Jumbo T^T beneran bagus banget. Industri animasi Indonesia harus jadiin ini standarnya sih kataku,0
Sedih bangetttttt,1
😭😭😭😭😭😭😭😭😭😭😭,0
😢,1
Lagunya buat nangis 😢😭😭😭😭😭😭😭😭😭😭,0
Napa don selalu di buli ya jadi gak ngerti pas aku nonton langsung nangis ya allah 😢,0
Semoga film jumbo punya mainan blin box di minisoo doh some,1
Semoga bisa nonton ke2 kalinya,1
Jumbosemaku😢😢❤😊😇🥰😭🧱🚙,1
Lirik nya ringan tapi kenapa di hati jd berat yaa❤,0
Tmn tmn sekolaH ku katanya pas nonton gk nangis tapi pas aku nonton air mata kemana mana muka jadi basah,0
"Uhhhh  <br>Ddx, yi",0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=114"">1:54</a> candu bet meri pas ngomong kau selalu 😆",0
Mama udah pernah nonton film jumbo tapi aku hafalin dulu lagunya biar aku jadi pintar bisa nyanyi lagu jumbo setiap hari karena aku suka banget sama jumbo kalian udah pernah nonton belum soalnya lagunya tuh kayak begini maksudnya kayak gitu kalau nanti badaikan datang kayak gitu aku suka aku tuh kalau dengar lagu ini langsung keluar air mata sedikit aja aku jadi sedih😭😭😭,0
Kok aku gak nagis???,0
Huft😢,0
Sumpah ini banjir air mata banget,0
Padahal udah nonton tapi pas nonton vidio ini nangis lagi we,0
😭😭😭😭😭,0
😊,0
Ini adalah lagu pertama yg bisa buat aku nangis,1
😢😢😢,1
:) sedih bgt lagu ya,0
"Sudah puluhan kali dengerin ini, bisa diputer berulang ulang dalam sekali waktu. <br>saya bapak2 30 tahunan dengan 2 anak lihat ini serasa di pukpuk. Sediih, bahagia, sayang, cinta.<br>Ada rasa yang campur aduk, rasa ketika kita masih merasakan diri sebagai anak. Ada rasa cinta seorang bapak untuk 2 anaknya. Hangat sekalii.. Terimakasih bang Ryan, dan seluruh team Jumbo. ditunggu karya selanjutnya.",8
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=59"">0:59</a> bagus banget😮",0
Si jumbo aku sayang sama kamu soalnya kau harus main terus,0
😭😭,0
"Plumbungan yang ditiup dari manaaaaaaaaaa <a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=154"">2:34</a>",0
Enak bangetlagunya❤,0
🥺👨‍❤️‍💋‍👨♥️😭❤️🥹,0
Video ini sangat jelek nyanyian apaan ini jelek sekali buat apa video ini lagu kekinian bosen dengerin gini jelek kali mendingan hapus saja lagu ini dari YouTube,0
Pas nonton filmnya aja air mata udah banjir apalagi lagunya😭😭 semangat terus ya geng jumbo🎉🎉❤❤,1
😭😭👬🖐️🧕❤️,0
iya tuh JUMBO,0
Pas nonton film nya aja udah banjir air mata apalagi lagu nya😭 semangat terus ya jumbo🎉🎉🎉❤❤,1
Jcjzjdjsjcjsjxjf yg ada 35🎉🎉🎉🎉🎉🎉🎉😊😊😊😊,0
Sama 😢😢😢😢😢😭😭😭😭😭😭😭😭😭,0
Tolong buat jumbo 2 dong karena jumbo ini buat banjir air mata ku 😭,1
Ini bukan cuman kartun anak-anak,0
🥹❤️😭♥️👨‍❤️‍💋‍👨🥺,0
Aku sedih  banget😢😢,0
❤❤❤❤❤❤❤❤❤😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0
Lupa-lupanya pasti yang pas yang kedua yang kamu mau menangis itu adalah  harur. Menangis,0
Awalnya aja aku udah nangis duluan,0
😊,1
Gw pen nangis woy 😢😢😢,0
😢😢😢,0
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=150"">2:30</a> &amp; <a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=111"">1:51</a> scene terenak 👍",2
Sedih banget 😢😢,0
Nanti aku mau liat di bioskop 😅,0
😢😢😢😢😢😢😢,0
Aku udh nonton di bioskop,0
speechless...,2
Inimah bukan film anak2 😢,0
🎉,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=105"">1:45</a>:3:09",0
Enak baget lagu nya🥲😭,0
"Scene yg bikin gk kuat nahan air mata, tengok kanan kiri karna malu sm anak2 dan suami tp Makjleb liriknya.. Gak kebayang ketika kita sdh gk lagi sm anak2 kita.. Ini yg bikin mewek.. Merinding sebadan.. Semoga kita diberi kesehatan, kesempatan trus bisa dampingi anak2 kita smpe saatnya tiba.. Mereka sdh siap segalanya.. <a href=""http://www.youtube.com/results?search_query=%23ungkapan"">#ungkapan</a> hati seorang ibu",1
😢😢😢😢😢❤😊,0
😢😢😢😢😢😢😭😭😭😭😭😭😭😭😭😭😭😭😭🥲🥲😢😢😢😥😥,0
wah !! jadi ke ingat adek aku  .   .  cobain hidupin ini depan adek ku eh malah tetidur pls . mantap lagu nya,0
Kok bisa sih selalu berkaca kaca tiap ke sini😢,0
sedikit demi sedikit engkau akan berteman pahit,0
ini bukan lagu ini tu sambal bawang pedes banget ampe gak ketahan air mata,0
Aku nonton film ini di bioskop sampai aku mau nangis 🥹🥹🥹,0
"Aku termasuk Emak2 yang mewek bareng sama anak2nya pas kemaren nonton..selain anaknya,emak sama bapaknya juga jd terbawa ke dunia jumbo..pokoknya terjumbo-jumbo deh",0
Aku kagum sama nyanyi don😢,0
Ka pas aku nonton filem nya aku nagis,0
aku udh perna nonton  di boyoskop sedih tapi seru ❤🎉,0
😭😭😭 mewek pas ini.,0
❤😢😊,0
Sedikit demi sedikit<br>Engkau akan berteman pahit 😢,0
Air mataku ga bisa berhenti .. awal nya mau nyerah pas nonton film ini jdi ga sedih walau masih ada kesedihan di pikiran ku terimakasih bgtt udh bikin film ini pls 😭😭🫶,2
nama filem jumbo dibikin dari Indonesia cerita lagu jumbo: hawa nanti badaikan datang angin bikin kau goyah maafkan hidup memang gaktau lagu yang ini lanjutnya andaikan saat itu datang kami tak ad menemani aku ingin kau  mendengar nyanyian ku disini... Sedikit demi sedikit engkau tak akan berteman pahit luapkan masajabila engkau menangis andaikan ingat lah semua lelah tak akan tersisa nusa kau takut pada keras dunia akhirnya tak kan nada Akhirnya doa ku akan ku selalu laluingin udh guys aku capekkk nanti aku lanjutkan di playstis yah❤🎉,0
"<a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=115"">1:55</a> part Quinn backing vocal &quot;kau selalu&quot; candu banget keren",95
Gua liat full di bioskop blitar alias blitos<br><br><br>Jadi keinget kakek gw😢😢😢😢😢😢😢,0
Biasa aja,0
😢😢😢😢,0
"bikin mewek banget lagu nya,",0
😢       🎤😥,0
Aku jadi I gita kung ku deh 😢😢😢😢,0
"Pas <a href=""https://www.youtube.com/watch?v=bB-dovQnBk4&amp;t=104"">1:44</a> jadi nangis 😭😭😭😭 deras bgt 😭😭🤧",0
"Kayanya film jumbo itu terinspirasi dari film Julie and the phantom. Soalnya sama konsep film nya, sama sama musikal, sama di bantuin arwah yg blum tenang, bedanya kolo di the phantom arwahnya grup band yg ganteng. Mereka matinya barengan, abis makan burger basi, kocak emang cara matinya hahah..",0
Jumbo kamu kenangan ku pas di rumah nenek ku😢<br>Lagu mu aku kenang sampai ku dewasaa,0
wow ini yang bikin karakter meri siapa sih kok mukanya mirip sama pacar aku 🤬😤,0
Aku hari Minggu kemarin nonton sumpah aku kaya mau nangis di bagian ini😭😭😭,0
❤❤❤❤❤❤😭,0
😇😇😭😭😌,0
Bagus banget bikin sedih 😭,0
Suka lagunya,0
😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,0
"Pas tau ada film animasi indo ga tertarik nonton apalagi judulnya jumbo apaan sih. Trus ostnya lewat lah di sosmed karena gue ngikutin laleilmanino, penasaran tuh dengerin ostnya. Baru kalimat pertama tiba tiba mewek makin didenger dalem banget ternyata lagunya. Jadi penasaran untuk nonton filmnya dan jujur tidak menyesal justru bangga indo punya film animasi sebagus ini. Sampai saat ini tiap dengerin lagu ini masih terus meneteskan air mata",0
Udah diputer berulang kali masih aja mewek dengernya,0
Asli pas don masih kecil keren bgt,0
Walau belum nonton di bioskop tapi kerennn banget 🤩🤩🤩🤩🤩,0
😢😢😢😊😊😊😊❤❤🥰😍🥲🥲🥲❤️‍🩹❤️‍🩹❤️‍🔥❤️‍🔥,0
Mau jual motor Honda terbaru,0
😭,0
😊,0
candu banget part meri &quot;doaku&quot; dan &quot;kau selalu&quot;,0
Cantik lagi sedih,0
"Terima kasih Ibu telah memperjuangkanku hingga akhir hayat hidupmu, kini giliranku untuk memperjuangkan cucumu",0
Maafin ibu yg bawa bayi 3 bulan dengan ear plugs  dikuping nya nonton demi kakak biar bisa nonton karena jarang banget film Indonesia animasi. Terbayar ga ada rasa menyesal setelahnya semua detail keren buat lagj ya visinema :),1
Jangan gitu dong bikin film nya aku sampe nangis tau pas nonton di bioskop😭😭,0
Aku mewek terus jadinya😭😭😭😭,0
Air mataku deras menangis jumbo jangan tinggalkan aku ya aku akan di sampingmu kamu jangan menangis ya jumbo walaupun kamu di-bully sama atta udah baik kok sama kamu Heri jangan kah kamu ke sini,0
minimal sekali sehari nyanyi Selalu Ada di Nadimu :&quot;),0
Ah nyanyian mengandung bawanggg,0
😢🥲😭😭😭😭😓😪🤕,0
Hmm...,0
FATIHA❤,0
Aku pernah liat kartun ini di bioskop,0
Aku bikin nangis 😢😢😢😭😭😭😥😥aku suka lagu ini 😢😢 <br>teman teman don baik yah selalu menemanin don ❤❤,0
semoga part mereka pentas diupload...,0
dan ternyata ksatria dipulau gelembung itu adalah aku 🥲,0
Bagus 🥺🥺,0
❤❤❤❤❤❤❤,1
yeay besok mau nonton bioskap jumbo🎉😊,0
😢,0
siapayang udanoto jumbo,0
"emang bandit ya visinema, gue denger lagu ini jadi merenungg 😭😭😭😭😭🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",1
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
Lagunya  bagus  banget deh,0
Ihhhhhhh sumpah dicenema gw baru beli tiket&quot;: senang(*janji gk nangis bangg..*)abangku maksudnya..<br>Ditengah video nangis..(*kata abangku*) ktanya gk nangis... kok nangiss...😢😢. Tolong ini bagus bingittt,1
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0
Sok aku pun gak nangis,0
